TicksTime,BallPosX,BallPosY,BallSpeed,PosB,PosPC,ScoreB,ScorePC
28096,1135,412,4,307,120,0,0
,,,,,,,
28108,1131,416,4,307,120,0,0
,,,,,,,
28122,1127,420,4,307,120,0,0
,,,,,,,
28134,1123,424,4,307,120,0,0
,,,,,,,
28148,1119,428,4,307,120,0,0
,,,,,,,
28162,1115,432,4,307,120,0,0
,,,,,,,
28176,1111,436,4,307,120,0,0
,,,,,,,
28192,1107,440,4,307,120,0,0
,,,,,,,
28207,1103,444,4,307,120,0,0
,,,,,,,
28222,1099,448,4,307,120,0,0
,,,,,,,
28235,1095,452,4,307,120,0,0
,,,,,,,
28251,1091,456,4,307,120,0,0
,,,,,,,
28266,1087,460,4,307,120,0,0
,,,,,,,
28280,1083,464,4,307,120,0,0
,,,,,,,
28293,1079,468,4,307,120,0,0
,,,,,,,
28306,1075,472,4,307,120,0,0
,,,,,,,
28320,1071,476,4,307,120,0,0
,,,,,,,
28335,1067,480,4,307,120,0,0
,,,,,,,
28349,1063,484,4,300,120,0,0
,,,,,,,
28362,1059,488,4,293,120,0,0
,,,,,,,
28376,1055,492,4,286,120,0,0
,,,,,,,
28389,1051,496,4,279,120,0,0
,,,,,,,
28403,1047,500,4,272,120,0,0
,,,,,,,
28417,1043,504,4,265,120,0,0
,,,,,,,
28432,1039,508,4,258,120,0,0
,,,,,,,
28444,1035,512,4,251,120,0,0
,,,,,,,
28458,1031,516,4,244,120,0,0
,,,,,,,
28471,1027,520,4,244,120,0,0
,,,,,,,
28486,1023,524,4,244,120,0,0
,,,,,,,
28501,1019,528,4,244,120,0,0
,,,,,,,
28517,1015,532,4,244,120,0,0
,,,,,,,
28533,1011,536,4,244,120,0,0
,,,,,,,
28544,1007,540,4,244,120,0,0
,,,,,,,
28558,1003,544,4,244,120,0,0
,,,,,,,
28572,999,548,4,244,120,0,0
,,,,,,,
28585,995,552,4,244,120,0,0
,,,,,,,
28600,991,556,4,244,120,0,0
,,,,,,,
28615,987,560,4,244,120,0,0
,,,,,,,
28627,983,564,4,244,120,0,0
,,,,,,,
28640,979,568,4,244,120,0,0
,,,,,,,
28655,975,572,4,244,120,0,0
,,,,,,,
28669,971,576,4,244,120,0,0
,,,,,,,
28684,967,580,4,244,120,0,0
,,,,,,,
28699,963,584,4,244,120,0,0
