Instante,RR_E,RR_F,Pos_E,Pos_F,Delta_PosE,Delta_PosF
354400.0,770.0,747.0,334.0,638.0,0.0,77.0
355200.0,777.0,781.0,231.0,638.0,140.0,70.0
356000.0,791.0,762.0,346.0,638.0,0.0,141.0
356800.0,817.0,751.0,389.0,638.0,0.0,111.0
357600.0,817.0,792.0,389.0,638.0,0.0,127.0
358400.0,851.0,829.0,441.0,638.0,0.0,97.0
359200.0,844.0,763.0,344.0,373.0,246.0,0.0
360000.0,817.0,744.0,322.0,190.0,216.0,109.0
360800.0,792.0,758.0,322.0,127.0,0.0,143.0
361600.0,789.0,756.0,322.0,127.0,0.0,81.0
362400.0,795.0,729.0,322.0,127.0,0.0,215.0
363200.0,801.0,728.0,322.0,127.0,0.0,270.0
364000.0,803.0,748.0,116.0,127.0,0.0,225.0
364800.0,783.0,771.0,21.0,127.0,134.0,0.0
365600.0,780.0,772.0,21.0,169.0,366.0,0.0
366400.0,804.0,791.0,168.0,231.0,60.0,0.0
367200.0,821.0,808.0,252.0,533.0,0.0,0.0
368000.0,823.0,762.0,252.0,292.0,0.0,0.0
368800.0,825.0,732.0,252.0,288.0,0.0,292.0
369600.0,800.0,740.0,252.0,218.0,0.0,72.0
370400.0,795.0,744.0,252.0,218.0,238.0,224.0
371200.0,802.0,733.0,252.0,218.0,0.0,70.0
372000.0,799.0,755.0,252.0,218.0,0.0,0.0
372800.0,805.0,773.0,252.0,218.0,0.0,322.0
373600.0,806.0,778.0,172.0,218.0,0.0,52.0
374400.0,800.0,778.0,0.0,218.0,0.0,81.0
375200.0,793.0,760.0,68.0,218.0,24.0,0.0
376000.0,773.0,735.0,273.0,363.0,157.0,0.0
376800.0,768.0,724.0,273.0,452.0,22.0,140.0
377600.0,779.0,739.0,273.0,344.0,0.0,175.0
378400.0,798.0,746.0,273.0,239.0,0.0,0.0
379200.0,812.0,729.0,273.0,239.0,0.0,70.0
380000.0,804.0,727.0,273.0,182.0,0.0,138.0
