TicksTime,PosB,PosA,ScoreB,ScoreA
34175,195,302,0,0
,,,,
34189,202,302,0,0
,,,,
34204,209,302,0,0
,,,,
34219,216,302,0,0
,,,,
34235,223,302,0,0
,,,,
34251,230,302,0,0
,,,,
34264,230,302,0,0
,,,,
34276,230,302,0,0
,,,,
34292,230,302,0,0
,,,,
34307,230,302,0,0
,,,,
34321,230,302,0,0
,,,,
34336,230,302,0,0
,,,,
34354,230,302,0,0
,,,,
34367,230,302,0,0
,,,,
34379,237,302,0,0
,,,,
34392,244,302,0,0
,,,,
34405,251,302,0,0
,,,,
34419,258,302,0,0
,,,,
34434,265,302,0,0
,,,,
34447,272,302,0,0
,,,,
34459,279,302,0,0
,,,,
34472,286,302,0,0
,,,,
34484,293,302,0,0
,,,,
34497,293,302,0,0
,,,,
34509,293,302,0,0
,,,,
34524,293,302,0,0
,,,,
34536,293,302,0,0
,,,,
34551,293,302,0,0
,,,,
34563,293,302,0,0
,,,,
34577,293,302,0,0
,,,,
34592,293,302,0,0
,,,,
34608,293,302,0,0
,,,,
34624,293,302,0,0
,,,,
34638,300,302,0,0
,,,,
34653,307,302,0,0
,,,,
34668,314,302,0,0
,,,,
34680,321,302,0,0
,,,,
34694,328,302,0,0
,,,,
34709,335,302,0,0
,,,,
34721,342,302,0,0
,,,,
34736,349,302,0,0
,,,,
34750,349,302,0,0
,,,,
34762,349,302,0,0
,,,,
34777,349,302,0,0
,,,,
34793,349,302,0,0
,,,,
34803,349,302,0,0
,,,,
34816,349,302,0,0
,,,,
34827,349,302,0,0
,,,,
34844,349,302,0,0
,,,,
34858,349,302,0,0
,,,,
34870,349,302,0,0
,,,,
34885,349,302,0,0
,,,,
34898,349,302,0,0
,,,,
34913,349,302,0,0
,,,,
34926,349,302,0,0
,,,,
34939,349,302,0,0
,,,,
34952,349,302,0,0
,,,,
34970,349,302,0,0
,,,,
34984,349,302,0,0
,,,,
34996,349,302,0,0
,,,,
35009,349,302,0,0
,,,,
35024,349,302,0,0
,,,,
35034,349,302,0,0
,,,,
35046,349,302,0,0
,,,,
35059,349,302,0,0
,,,,
35075,349,302,0,0
,,,,
35087,349,302,0,0
,,,,
35102,349,302,0,0
,,,,
35115,349,302,0,0
,,,,
35129,349,302,0,0
,,,,
35143,349,302,0,0
,,,,
35156,349,302,0,0
,,,,
35171,349,302,0,0
,,,,
35185,349,302,0,0
,,,,
35196,349,302,0,0
,,,,
35209,349,302,0,0
,,,,
35220,349,302,0,0
,,,,
35237,349,302,0,0
,,,,
35253,349,302,0,0
,,,,
35265,349,302,0,0
,,,,
35279,349,302,0,0
,,,,
35293,349,302,0,0
,,,,
35307,349,302,0,0
,,,,
35318,349,302,0,0
,,,,
35331,349,302,0,0
,,,,
35344,349,302,0,0
,,,,
35356,349,302,0,0
,,,,
35367,349,302,0,0
,,,,
35379,349,302,0,0
,,,,
35393,349,302,0,0
,,,,
35407,349,302,0,0
,,,,
35420,349,302,0,0
,,,,
35434,349,302,0,0
,,,,
35446,349,302,0,0
,,,,
35459,349,302,0,0
,,,,
35473,349,302,0,0
,,,,
35486,349,302,0,0
,,,,
35501,349,302,0,0
,,,,
35512,349,302,0,0
,,,,
35525,349,302,0,0
,,,,
35537,349,302,0,0
,,,,
35552,349,302,0,0
,,,,
