TicksTime,BallPosX,BallPosY,BallSpeed,PosF,PosPC,ScoreF,ScorePC
,,,,,,,
28839,279,580,4,638,516,0,0
,,,,,,,
28850,283,576,4,631,516,0,0
,,,,,,,
28864,287,572,4,624,516,0,0
,,,,,,,
28876,291,568,4,617,516,0,0
,,,,,,,
28890,295,564,4,610,516,0,0
,,,,,,,
28905,299,560,4,603,516,0,0
,,,,,,,
28917,303,556,4,596,516,0,0
,,,,,,,
28930,307,552,4,589,516,0,0
,,,,,,,
28942,311,548,4,582,516,0,0
,,,,,,,
28955,315,544,4,575,516,0,0
,,,,,,,
28966,319,540,4,568,516,0,0
,,,,,,,
28982,323,536,4,561,516,0,0
,,,,,,,
28994,327,532,4,554,516,0,0
,,,,,,,
29008,331,528,4,547,516,0,0
,,,,,,,
29022,335,524,4,540,516,0,0
,,,,,,,
29034,339,520,4,533,516,0,0
,,,,,,,
29048,343,516,4,526,516,0,0
,,,,,,,
29061,347,512,4,519,516,0,0
,,,,,,,
29073,351,508,4,512,516,0,0
,,,,,,,
29087,355,504,4,505,516,0,0
,,,,,,,
29100,359,500,4,498,516,0,0
,,,,,,,
29115,363,496,4,491,516,0,0
,,,,,,,
29127,367,492,4,484,516,0,0
,,,,,,,
29140,371,488,4,477,516,0,0
,,,,,,,
29152,375,484,4,470,516,0,0
,,,,,,,
29166,379,480,4,463,516,0,0
,,,,,,,
29180,383,476,4,456,516,0,0
,,,,,,,
29192,387,472,4,449,516,0,0
,,,,,,,
29206,391,468,4,442,516,0,0
,,,,,,,
29217,395,464,4,435,516,0,0
,,,,,,,
29232,399,460,4,428,516,0,0
